iteration,filename,rssi_temporal_A_a_mean,rssi_temporal_A_a_std,rssi_temporal_A_a_max,rssi_temporal_A_a_min,rssi_temporal_A_b_mean,rssi_temporal_A_b_std,rssi_temporal_A_b_max,rssi_temporal_A_b_min,rssi_temporal_A_c_mean,rssi_temporal_A_c_std,rssi_temporal_A_c_max,rssi_temporal_A_c_min,rssi_temporal_A_d_mean,rssi_temporal_A_d_std,rssi_temporal_A_d_max,rssi_temporal_A_d_min,rssi_temporal_A_e_mean,rssi_temporal_A_e_std,rssi_temporal_A_e_max,rssi_temporal_A_e_min,rssi_temporal_A_f_mean,rssi_temporal_A_f_std,rssi_temporal_A_f_max,rssi_temporal_A_f_min,rssi_temporal_B_a_mean,rssi_temporal_B_a_std,rssi_temporal_B_a_max,rssi_temporal_B_a_min,rssi_temporal_B_b_mean,rssi_temporal_B_b_std,rssi_temporal_B_b_max,rssi_temporal_B_b_min,rssi_temporal_B_c_mean,rssi_temporal_B_c_std,rssi_temporal_B_c_max,rssi_temporal_B_c_min,rssi_temporal_B_d_mean,rssi_temporal_B_d_std,rssi_temporal_B_d_max,rssi_temporal_B_d_min,rssi_temporal_B_e_mean,rssi_temporal_B_e_std,rssi_temporal_B_e_max,rssi_temporal_B_e_min,rssi_temporal_B_f_mean,rssi_temporal_B_f_std,rssi_temporal_B_f_max,rssi_temporal_B_f_min,rssi_temporal_C_a_mean,rssi_temporal_C_a_std,rssi_temporal_C_a_max,rssi_temporal_C_a_min,rssi_temporal_C_b_mean,rssi_temporal_C_b_std,rssi_temporal_C_b_max,rssi_temporal_C_b_min,rssi_temporal_C_c_mean,rssi_temporal_C_c_std,rssi_temporal_C_c_max,rssi_temporal_C_c_min,rssi_temporal_C_d_mean,rssi_temporal_C_d_std,rssi_temporal_C_d_max,rssi_temporal_C_d_min,rssi_temporal_C_e_mean,rssi_temporal_C_e_std,rssi_temporal_C_e_max,rssi_temporal_C_e_min,rssi_temporal_C_f_mean,rssi_temporal_C_f_std,rssi_temporal_C_f_max,rssi_temporal_C_f_min,rssi_temporal_D_a_mean,rssi_temporal_D_a_std,rssi_temporal_D_a_max,rssi_temporal_D_a_min,rssi_temporal_D_b_mean,rssi_temporal_D_b_std,rssi_temporal_D_b_max,rssi_temporal_D_b_min,rssi_temporal_D_c_mean,rssi_temporal_D_c_std,rssi_temporal_D_c_max,rssi_temporal_D_c_min,rssi_temporal_D_d_mean,rssi_temporal_D_d_std,rssi_temporal_D_d_max,rssi_temporal_D_d_min,rssi_temporal_D_e_mean,rssi_temporal_D_e_std,rssi_temporal_D_e_max,rssi_temporal_D_e_min,rssi_temporal_D_f_mean,rssi_temporal_D_f_std,rssi_temporal_D_f_max,rssi_temporal_D_f_min,target_busy,target_throughput,target_channel
11,it0011_08-04-19_17-25-31.mat,34.04176,85.18580959351387,629,0,31.85083,90.736499812981,643,0,22.27861,68.62631205644013,576,0,35.00644,96.47815658752192,586,0,5.12519,35.76663162032315,653,0,8.08624,50.97483048193884,626,0,46.69894,95.00934797627231,643,0,11.80176,42.48168406386922,696,0,23.85076,75.40617724976117,608,0,32.24043,91.55223035740363,800,0,21.89364,77.5581651894267,607,0,0.85448,9.164530753377392,417,0,60.05009,107.37099785785685,653,0,43.12548,87.40669570902222,505,0,24.4519,73.24339237357866,583,0,2.76851,18.471160829246767,470,0,14.31805,61.104058737513505,634,0,0.2526,7.2460550122118175,455,0,41.02624,83.61876937304447,675,0,28.17548,63.184149964762526,514,0,19.85259,57.75761300722096,481,0,0.11991,3.14547160087323,207,0,7.43234,12.473313197559019,136,0,0.21237,4.021505810402367,172,0,0,0.01153642228739003,rssi_temporal_B_b
12,it0012_08-04-19_17-25-40.mat,35.70921,87.27689689245317,626,0,31.58964,91.11332528598876,608,0,23.16531,69.90406027266155,546,0,22.11785,73.02916432068423,620,0,4.8176,33.68910580944528,666,0,5.90153,42.02321422332067,552,0,45.49743,93.82074095526586,658,0,8.03816,34.738270593315384,693,0,24.06555,76.46052192600767,628,0,29.66128,84.73157149942163,566,0,21.44265,77.20213501566845,616,0,1.04465,12.183829298603131,384,0,59.72052,106.95733247856175,657,0,35.9628,77.5697115900272,535,0,25.0244,74.71263082397782,606,0,2.22164,17.16172414736934,524,0,20.47086,74.55938298336702,576,0,0.57088,12.315568847016365,433,0,41.77148,85.06177812983691,617,0,27.87441,62.280365582998144,537,0,16.0945,53.653977203465544,495,0,0.1061,2.8126504919737187,194,0,7.56893,12.841437951222595,289,0,0.44472,10.615876983160646,435,0,0,0.00785743890518084,rssi_temporal_B_b
13,it0013_08-04-19_17-26-00.mat,35.53793,87.9634704938084,707,0,30.59399,89.33694043272301,594,0,22.27303,68.3292662379679,574,0,21.82117,71.62647464332653,509,0,4.5642,33.27441537217446,636,0,4.72836,38.21858594598183,420,0,47.28413,91.77837643008891,590,0,6.98623,30.253047456200175,705,0,22.1369,71.13179456747875,502,0,29.58051,85.27994088963655,774,0,19.83616,73.9901225600715,585,0,0.51217,4.11077509614671,228,0,71.35016,111.46717314068029,671,0,35.81485,76.45267483533522,504,0,29.14127,83.8166085736419,630,0,2.0198,14.590136666940447,475,0,15.64528,62.25212264430507,578,0,0.08848,3.0886002152431447,261,0,41.51555,81.29877870052846,625,0,27.12022,61.04820871370101,531,0,15.328,51.554305891942725,503,0,0.10959,2.8407499066091693,156,0,7.41085,12.393505245793056,170,0,0.07013,1.9047340452409622,210,0,0,0.006829159335288368,rssi_temporal_B_b
14,it0014_08-04-19_17-26-09.mat,37.55567,90.85842812227769,637,0,32.39196,92.47286038270039,583,0,24.99635,73.85809594538367,596,0,23.95404,78.09759553071017,642,0,5.48682,37.83655780178213,649,0,5.84636,44.077437025652934,674,0,45.00793,95.44347618939233,627,0,8.2979,38.21200433882002,712,0,25.8369,78.64114634458224,603,0,32.41149,89.90932691317347,613,0,21.42529,77.27836267944541,614,0,0.65446,6.713873852583172,431,0,58.39178,108.30646605088543,660,0,37.09304,79.22046025843576,548,0,33.69213,92.46936912331077,635,0,2.74372,20.419644966590383,514,0,13.76272,59.41515428071865,600,0,0.13471,3.836318966913466,328,0,41.5248,85.58041344232919,608,0,28.1395,63.080776309030945,511,0,16.97437,54.96914619223315,520,0,0.13517,3.050301472166317,178,0,7.52827,12.469121092005642,103,0,0.08837,1.9801617972024406,154,0,0,0.008111339198435973,rssi_temporal_B_b
15,it0015_08-04-19_17-26-18.mat,40.95247,94.42642104251912,594,0,31.88015,91.05086658553833,651,0,22.82906,69.76161135980446,598,0,21.86748,73.36450966543428,588,0,4.16363,31.308832223880536,650,0,4.85402,38.16024200446847,416,0,46.39983,94.96083311540131,593,0,7.31122,33.46215716464795,711,0,24.29134,76.1785477743203,638,0,28.15369,82.2458590409505,538,0,18.84835,71.60492756980835,524,0,0.6791,7.5770867218212565,362,0,61.23917,111.76229394438492,659,0,36.79589,78.39458622320741,536,0,25.35858,74.125844078726,622,0,2.07928,15.142613865564956,463,0,12.45091,55.919153339190494,485,0,0.32388,8.332868758452877,390,0,42.68685,85.91851085230412,596,0,27.85986,62.89395504164451,498,0,15.55458,52.34973926414152,479,0,0.09736,2.6985257142373134,171,0,7.38203,12.313305936226064,90,0,0.29095,6.3171226121945745,298,0,0,0.007146842619745845,rssi_temporal_B_b
16,it0016_08-04-19_17-26-27.mat,34.74309,85.99625089067487,543,0,31.05148,89.3431760673953,607,0,24.41228,72.61157197858753,631,0,22.52563,74.92251079016974,669,0,4.52288,32.64627599751004,617,0,5.7029,42.445886863040094,563,0,46.60556,96.22312215411846,576,0,7.33676,31.995950567257722,705,0,25.06438,78.30887328531549,626,0,31.54721,88.65715476607569,634,0,20.46061,75.14327400657959,603,0,0.66555,6.151340764215554,224,0,56.11956,106.8156533725577,621,0,37.30403,80.15255751227842,596,0,26.71837,76.70968396847363,629,0,2.38136,17.453742995426516,522,0,13.34289,58.01185772277854,563,0,0.26378,6.879130767153653,291,0,41.26582,84.10459428430529,547,0,28.78647,65.05106251967834,531,0,16.54097,54.30685630248818,497,0,0.1011,2.695896657885832,170,0,7.36021,12.371033051281529,217,0,0.12454,3.1785232087244535,214,0,0,0.007171808406647116,rssi_temporal_B_b
17,it0017_08-04-19_17-26-36.mat,33.43624,84.835993862643,579,0,31.47069,90.84126023412436,631,0,23.79508,72.56018059372234,629,0,21.94516,72.81615351399991,627,0,5.06882,35.77231169225159,679,0,4.9199,39.19709917825552,644,0,41.96816,91.24384749786913,611,0,7.40698,34.28621687033435,712,0,25.42926,79.12221341603382,623,0,31.62786,90.27750357547775,737,0,22.00161,79.10209647922045,616,0,0.76711,10.5304545128831,531,0,55.51897,106.60079446298278,639,0,63.25528,96.02554374811736,575,0,28.85051,76.09156880193692,589,0,2.18197,15.010315683525782,475,0,13.99422,59.9131857489785,576,0,0.25938,8.725513280925082,486,0,40.06259,83.7239797936762,560,0,28.91821,65.16888184092083,538,0,16.27535,53.94557435394956,513,0,0.12353,3.1837604085577795,199,0,7.47761,12.432529858717412,109,0,0.24073,7.299112210885649,419,0,0,0.007240449657869012,rssi_temporal_B_b
18,it0018_08-04-19_17-26-45.mat,37.58435,91.00771574475156,657,0,32.79786,92.65137062893564,630,0,35.27744,97.77209094136424,691,0,24.4334,79.93191355422437,918,0,5.4713,38.6256504969172,801,0,5.71949,41.999801477386775,500,0,45.23288,96.12386387836061,634,0,8.387,39.17607574783366,917,0,25.75567,79.70910909583107,911,0,30.86368,86.37756026224403,625,0,23.23314,81.35295363869956,812,0,0.87927,9.878101754239022,340,0,56.9126,108.10801450974854,641,0,36.72303,79.5017475129893,581,0,26.08604,76.36962404725061,634,0,2.80624,23.383542868060008,896,0,24.59847,89.26930706384529,763,0,0.54932,11.225201447528681,473,0,44.1792,88.12904009099383,592,0,28.05593,63.38766332524887,535,0,16.12124,53.31329459771174,538,0,0.25273,6.476636283372719,357,0,8.18782,15.936170294258279,277,0,0.49581,9.807400391739902,386,0,0,0.00819843597262952,rssi_temporal_B_b
19,it0019_08-04-19_17-26-54.mat,35.58478,87.4784132935183,612,0,34.1104,91.50461153318996,590,0,37.48027,99.202503853114,674,0,21.71455,72.74562920408003,610,0,4.71976,33.5912599576497,631,0,5.56005,42.36974290690823,568,0,40.86222,89.05690403709079,605,0,7.22906,33.604777510294575,739,0,23.07561,72.84180608090315,627,0,29.40429,84.37562123976274,610,0,21.12607,75.5945200153761,585,0,0.7153,6.695912627118129,323,0,54.74335,105.50015535902068,671,0,35.35862,76.45440518175262,575,0,24.39483,72.65627033691655,590,0,2.28485,16.856234765732825,494,0,13.2688,58.125155368050414,579,0,0.15371,4.226086042178982,286,0,42.32496,84.96371885103899,534,0,27.14791,61.45594513659276,491,0,15.41744,51.211624108657205,480,0,0.09711,2.4838678805242442,171,0,7.21582,12.337699207210395,208,0,0.16617,5.304605313413997,409,0,0,0.007066529814271749,rssi_temporal_B_b
20,it0020_08-04-19_17-27-03.mat,34.20082,86.02541793753518,574,0,31.89186,89.6858088313887,600,0,26.0592,75.07351021072614,644,0,23.75403,76.80394526818984,637,0,4.72145,33.96091930289137,629,0,5.30693,40.17676248747651,427,0,46.64851,93.70765905079423,674,0,7.41878,32.92299687622012,702,0,26.09647,78.340531805312,616,0,31.31964,88.49004209666982,630,0,20.83123,76.15760714916863,620,0,0.66668,5.650716572046416,228,0,58.08903,108.64334468184924,631,0,76.23528,114.33065670817079,541,0,26.77213,77.56204410188722,591,0,2.27296,16.773755478079437,479,0,13.47097,59.01691280691578,585,0,0.22547,6.520122182835227,380,0,44.50534,87.26815599910658,549,0,38.58129,78.20490145723541,516,0,17.18806,55.60421506897116,477,0,0.10918,2.7053797751147624,153,0,7.21243,12.154822232147207,90,0,0.19251,6.171028269251406,360,0,0,0.007251984359726295,rssi_temporal_B_b
